# 3C295
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency     I       P.F.    P.A.
# (GHz)         (Jy)            (rad)
1.022		29.13	0.00048	0.78540
1.465		21.60	0.00017	N/A
1.865		17.54	0.00045	0.34737
2.565		12.84	0.00047	0.78540
3.565		9.12	0.00102	-1.23511
4.885		6.42	0.00198	1.43111
6.680		4.45	0.00849	-0.10259
8.435		3.37	0.01134	0.54597
11.320		2.33	1.53682	-0.63780
14.065		1.75	1.37184	-1.16634
16.564		1.43	2.44852	-1.53089
19.064		1.19	3.48516	1.38367
25.564		0.82	5.04653	1.06163
32.064		0.60	6.50323	0.88536
37.064		0.50	0.06517	0.74524
42.064		0.44	0.06131	0.79286
48.064		0.41	N/A	N/A
