# 3C138
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency     I       P.F.    P.A.
# (GHz)         (Jy)            (rad)
1.022		10.07	0.05462	-0.23182
1.465		8.26	0.07795	-0.16694
1.865		7.21	0.08955	-0.16235
2.565		6.00	0.09848	-0.17721
3.565		4.89	0.10337	-0.16619
4.885		4.00	0.10524	-0.18386
6.680		3.23	0.10219	-0.20056
8.435		2.76	0.10939	-0.16412
11.320		2.24	9.06322	-0.13864
14.065		1.90	8.23124	-0.18290
16.654		1.69	8.18572	-0.23086
19.064		1.54	8.43729	-0.28012
25.564		1.25	8.42246	-0.31691
32.064		1.06	8.54099	-0.33910
37.064		0.96	0.08694	-0.34084
42.064		0.88	0.08772	-0.40503
48.064		0.82	0.09147	-0.42097
