# 3C196
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency     I       P.F.    P.A.
# (GHz)         (Jy)            (rad)
1.022		18.94	0.00048	0.78540
1.465		13.75	0.00052	0.29400
1.865		11.05	0.00174	0.70710
2.565		8.14	0.00992	0.89138
3.565		5.86	0.02256	-1.36438
4.885		4.22	0.02499	-0.97477
6.680		3.00	0.01969	-0.71829
8.435		2.33	0.01602	-0.59490
11.320		1.67	1.29298	-0.51003
14.065		1.30	1.25427	-0.51098
16.654		1.08	1.24441	-0.48004
19.064		0.92	1.27797	-0.57629
25.564		0.66	1.30665	-0.42159
32.064		0.51	1.16450	-0.45858
37.064		0.43	0.00595	-0.26686
42.064		0.37	0.02809	-0.38925
48.064		0.31	N/A	N/A
